movie_title;critique_attributes;softmax_alpha;accuracy;diversity;serendipity;n_results
Mean Girls (2004);['starring', 'director'];1.0;0.5902544361346781;0.0;0.0;1
Mean Girls (2004);['genre', 'tag', 'starring', 'director'];1.0;0.0;0.0;0.0;0
Mean Girls (2004);[];1.5;0.4139151066775;0.7034496564909204;0.4;5
Mean Girls (2004);['genre'];1.5;0.4577165963516962;0.6599818772742854;0.2;5
Mean Girls (2004);['tag'];1.5;0.37376701057482714;0.6507840134875791;0.0;5
Mean Girls (2004);['starring'];1.5;0.4274255834293178;0.6894618249900502;0.2;5
Mean Girls (2004);['director'];1.5;0.486179789467233;0.5305740042074629;0.2;5
Mean Girls (2004);['genre', 'tag'];1.5;0.4794060548839781;0.6187754661168249;0.0;3
Mean Girls (2004);['starring', 'director'];1.5;0.5902544361346781;0.0;0.0;1
Mean Girls (2004);['genre', 'tag', 'starring', 'director'];1.5;0.0;0.0;0.0;0
The Usual Suspects (1995);[];0.5;0.24055533794872494;0.7995188388745225;1.0;5
The Usual Suspects (1995);['genre'];0.5;0.40240006245312293;0.664373798309578;0.6;5
The Usual Suspects (1995);['tag'];0.5;0.40199971571656334;0.6411328304161872;0.6;5
The Usual Suspects (1995);['starring'];0.5;0.24055533794872494;0.7995188388745225;1.0;5
The Usual Suspects (1995);['director'];0.5;0.24055533794872494;0.7995188388745225;1.0;5
The Usual Suspects (1995);['genre', 'tag'];0.5;0.4829995428235045;0.6196397914186227;0.4;5
The Usual Suspects (1995);['starring', 'director'];0.5;0.24055533794872494;0.7995188388745225;1.0;5
The Usual Suspects (1995);['genre', 'tag', 'starring', 'director'];0.5;0.45845985915678894;0.6421873715491966;0.6;5
The Usual Suspects (1995);[];1.0;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['genre'];1.0;0.4550030601395217;0.6312087144134209;0.4;5
The Usual Suspects (1995);['tag'];1.0;0.4618975461730816;0.6151037911655182;0.2;5
The Usual Suspects (1995);['starring'];1.0;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['director'];1.0;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['genre', 'tag'];1.0;0.48351743016043097;0.5173902053801703;0.4;5
The Usual Suspects (1995);['starring', 'director'];1.0;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['genre', 'tag', 'starring', 'director'];1.0;0.479952462735681;0.5756472210579867;0.0;5
The Usual Suspects (1995);[];1.5;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['genre'];1.5;0.430577462735681;0.6721374258573222;0.4;5
The Usual Suspects (1995);['tag'];1.5;0.45198768848349963;0.5973327902374022;0.2;5
The Usual Suspects (1995);['starring'];1.5;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['director'];1.5;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['genre', 'tag'];1.5;0.479952462735681;0.5756472210579867;0.0;5
The Usual Suspects (1995);['starring', 'director'];1.5;0.44519642999097125;0.6519304850501971;0.2;5
The Usual Suspects (1995);['genre', 'tag', 'starring', 'director'];1.5;0.4816722972200134;0.4896543599662665;0.2;5
